Ref,Val,Package,PosX,PosY,Rot,Side
"JP1","SolderJumper_2_Bridged","SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm",190.000000,-89.300000,-90.000000,bottom
"TP1","TestPoint","TestPoint_Pad_D1.0mm",104.100000,-80.300000,180.000000,bottom
"TP2","TestPoint","TestPoint_Pad_D1.0mm",112.000000,-82.700000,180.000000,bottom
"TP3","TestPoint","TestPoint_Pad_D1.0mm",105.400000,-119.800000,180.000000,bottom
"TP4","TestPoint","TestPoint_Pad_D1.0mm",105.400000,-122.000000,180.000000,bottom
"TP5","TestPoint","TestPoint_Pad_D1.0mm",114.600000,-76.700000,180.000000,bottom
"TP6","TestPoint","TestPoint_Pad_D1.0mm",116.300000,-78.300000,180.000000,bottom
"TP7","TestPoint","TestPoint_Pad_D1.0mm",134.300000,-96.400000,180.000000,bottom
"TP9","TestPoint","TestPoint_Pad_D1.0mm",152.200000,-106.000000,180.000000,bottom
"TP10","TestPoint","TestPoint_Pad_D1.0mm",146.800000,-103.700000,180.000000,bottom
"TP11","TestPoint","TestPoint_Pad_D1.0mm",153.200000,-95.600000,180.000000,bottom
"TP12","TestPoint","TestPoint_Pad_D1.0mm",147.600000,-97.100000,180.000000,bottom
"TP13","TestPoint","TestPoint_Pad_D1.0mm",166.900000,-94.200000,180.000000,bottom
"TP14","TestPoint","TestPoint_Pad_D1.0mm",151.800000,-75.200000,180.000000,bottom
"TP15","TestPoint","TestPoint_Pad_D1.0mm",181.200000,-74.685000,180.000000,bottom
"TP16","TestPoint","TestPoint_Pad_D1.0mm",118.300000,-125.725000,180.000000,bottom
"TP17","TestPoint","TestPoint_Pad_D1.0mm",148.550000,-125.685000,180.000000,bottom
"TP18","TestPoint","TestPoint_Pad_D1.0mm",168.300000,-92.400000,180.000000,bottom
"TP19","TestPoint","TestPoint_Pad_D1.0mm",122.300000,-110.800000,180.000000,bottom
"TP20","TestPoint","TestPoint_Pad_D1.0mm",123.000000,-115.600000,180.000000,bottom
"TP21","TestPoint","TestPoint_Pad_D1.0mm",136.400000,-116.700000,180.000000,bottom
"TP22","TestPoint","TestPoint_Pad_D1.0mm",142.400000,-116.200000,180.000000,bottom
"C1","10µF, 16V","C_0603_1608Metric",105.912500,-136.112500,180.000000,top
"C2","100nF, 16V","C_0402_1005Metric",106.207500,-137.412500,180.000000,top
"C3","10µF, 16V","C_0603_1608Metric",115.000000,-71.775000,-90.000000,top
"C4","100nF, 16V","C_0402_1005Metric",116.300000,-71.480000,-90.000000,top
"C5","10µF, 16V","C_0603_1608Metric",112.200000,-79.412500,-90.000000,top
"C6","10µF, 16V","C_0603_1608Metric",97.220000,-112.000000,-90.000000,top
"C7","100nF, 16V","C_0402_1005Metric",95.980000,-111.705000,-90.000000,top
"C8","100nF, 16V","C_0402_1005Metric",97.500000,-87.400000,0.000000,top
"C9","100nF, 16V","C_0402_1005Metric",114.800000,-87.400000,180.000000,top
"C10","4.7µF, 50V","C_0805_2012Metric",121.625000,-69.125000,0.000000,top
"C11","4.7µF, 50V","C_0805_2012Metric",121.625000,-71.225000,0.000000,top
"C12","100nF, 50V","C_0402_1005Metric",121.130000,-72.775000,0.000000,top
"C13","100nF, 16V","C_0402_1005Metric",123.300000,-77.500000,-90.000000,top
"C14","10µF, 16V","C_0603_1608Metric",123.500000,-94.775000,-90.000000,top
"C15","10µF, 16V","C_0603_1608Metric",121.900000,-94.775000,-90.000000,top
"C16","100nF, 16V","C_0402_1005Metric",120.605000,-94.475000,-90.000000,top
"C17","10µF, 16V","C_0603_1608Metric",133.100000,-94.500000,0.000000,top
"C18","10µF, 16V","C_0603_1608Metric",126.600000,-99.775000,-90.000000,top
